innings,over,ball,start_time,end_time,bowler,batsman,runs,comment
1,15,1,4699.8,4716.44,Muralitharan,Kohli,0,**Parthiv misses a stumping chance**. Kohli goes down the track but is beaten in the flight and it goes between his bat and pad and just outside leg stump.. Patel fails to collect it cleanly.
,,,,,,,,
1,15,2,4731.08,4751.24001,Muralitharan,Kohli,6,"Thwack! He rocked back, created room and pulled it hard over long-on. Up .. up and over."
,,,,,,,,
1,15,3,4753.8,4760.84,Muralitharan,Kohli,0,tries to go for another pull but doesn't connect properly
,,,,,,,,
1,15,4,4771.84,4781.20001,Muralitharan,Kohli,OUT,"time for Parthiv. Again, Murali beats Kohli in flight by the doosra and also by the shortening of the length, and the ball went past the attempted lofted slog .. this time it was outside off and hence lot more easier for Patel who did what was required of him"
,,,,,,,,
1,15,5,4881.88,4890.44,Muralitharan,Morgan,0,gets forward to drive straight to short cover
,,,,,,,,
1,15,6,4900.64001,4907.56,Muralitharan,Morgan,0,Another dot ball. Morgan tries to work it to the on side but edges it.
,,,,,,,,
1,16,1,5076.84003,5103.96002,Morkel,Uthappa,6,Thunderous Wallop! Robin clears the front foot and smokes the length delivery high over long-on .. way back into the stands.
,,,,,,,,
1,16,2,5118.59998,5126.23999,Morkel,Uthappa,1,**dropped by Vijay** at long-on. Robin whacked the full toss hard to Vijay who drops it! What a Clanger!
,,,,,,,,
1,16,3,5160.20001,5168.56,Morkel,Morgan,1,"length delivery around off stump line, nudges it away for a single"
,,,,,,,,
1,16,4,5189.32001,5195.84003,Morkel,Uthappa,1,"full and outside off, Robin mistimes the off drive but will collect a single"
,,,,,,,,
1,16,5,5216.12,5225.56,Morkel,Morgan,OUT,in length and straight and Morgan goes for the good-old slog across the line and completely misses it. Timber!
,,,,,,,,
1,16,6,5292.79999,5299.52002,Morkel,Boucher,0,short in length and outside off and Boucher cuts straight to backward point. Both batsmen meet for a chat.
,,,,,,,,
1,17,1,5386.64001,5393.59998,Ashwin,Uthappa,1,walks down the track and whips it to deep midwicket.
,,,,,,,,
1,17,2,5412.2,5425.52,Ashwin,Boucher,1,gets forward to drive to Vijay at long-on
,,,,,,,,
1,17,3,5436.6,5445.72,Ashwin,Uthappa,1,moves outside leg and drives the full dipping full toss to long-off
,,,,,,,,
1,17,4,5464.8,5473.52,Ashwin,Boucher,1,"fires it really full and low, another dipping full toss, whipped to deep midwicket"
,,,,,,,,
1,17,5,5483.88,5491.76,Ashwin,Uthappa,6,"The white ball has gone flying over midwicket boundary! Robin walked down the track, got the ball on full and swung it over the on-side"
,,,,,,,,
1,17,6,5539.92,5559.44,Ashwin,Uthappa,1,"walks down the track, Ashwin pushes it further outside off and Robin swipes it across the line but doesn't connect properly.. just a single, wide of midwicket"
,,,,,,,,
1,18,1,5618,5627.56,Balaji,Uthappa,4,"Super shot! This time he stayed still at his original stance and unfurled a fine cover drive. The ball raced away to the boundary, Bailey threw in a dive at the boundary line but can't cut it offf"
,,,,,,,,
1,18,2,5672.35999,5682.48001,Balaji,Uthappa,6,"Will this ball come back from the midwicket stands?! Robin walked down the track, Bala hurled it short and slow, Robin adjusted, opened-up his stance and whacked it high over the boundary"
,,,,,,,,
1,18,3,5710.76001,5716.95999,Balaji,Uthappa,6,Whadaaplayaaaaaaa! Third IPL flfty and in what style. He almost went down on his knee and smoked a length delivery high over long- on!
,,,,,,,,
1,18,4,5753.12,5759.76001,Balaji,Uthappa,6,Hat trick of sixes. Robin has gone berserk with his violence and the crowd have gone mad! Flat-batted six over long-on! You beauty! Bala banged it short and Robin went for the fore-hand wallop! The ball almost cleared the stadium and it crashed against the roof of the top stand!
,,,,,,,,
1,18,5,5810.84,5821.39999,Balaji,Uthappa,1,"really full this time, driven to cover for a single"
,,,,,,,,
1,18,6,5842.23999,5854,Balaji,Boucher,1,"really full in length , square driven to sweeper cover."
,,,,,,,,
1,19,1,5894.20001,5903.84,Ashwin,Boucher,1,"full delivery, Boucher drills it hard but straight to long-off"
,,,,,,,,
1,19,2,5914.59998,5928.64001,Ashwin,Uthappa,1,gets forward to drive to long-on
,,,,,,,,
1,19,3,5938.96002,5945.12,Ashwin,Boucher,6,Huge! Maximum! Boucher this time. He went down on his knee and proposed .. disposed it over long-on!
,,,,,,,,
1,19,4,5971.08002,5979.32001,Ashwin,Boucher,1,"goes for the yorker length, dug out to midwicket"
,,,,,,,,
1,19,5,5989.23999,5997.40002,Ashwin,Uthappa,6,What a knock this from Robin Uthappa! Yet another violent hit over long-on. The carnage continues. He cleared the front foot and crashed it over long-on. Boom! Biff!
,,,,,,,,
1,19,6,6019.40002,6035.20001,Ashwin,Uthappa,2,walks down the track and drags it from outside off to deep midwicket. He rushes back for the second and dives to get back inside the crease.
,,,,,,,,
2,0,1,6939.56,6953.56,Praveen,Patel,0,"some swing there. Away from the left-handed Parthiv. It started from middle and leg and moved towards off and middle, defended to the off side"
,,,,,,,,
2,0,2,6963.03998,6980.56,Praveen,Patel,1,"pushed towards mid-off for a quick single. . Robin rushed forward and fired in a throw at the non-striker's end .. had he hit, parthiv would have been struggling to get back inside the crease in time"
,,,,,,,,
2,0,3,7016.56,7026.23999,Praveen,Hayden,0,"in the channel outside off stump, Hayden allows it to pass through to Boucher"
,,,,,,,,
2,0,4,7051.12,7062.91998,Praveen,Hayden,0,"**run out of Hayden missed** Kohli is furious with himself. Hayden had walked down the track but missed the hit, the ball went off his thigh pad to the off side. Kohli rushed in from backward point and under-armed a throw but missed."
,,,,,,,,
2,0,5,7095.79999,7104.12,Praveen,Hayden,1,leans forward to drive to mid-off where Robin makes a tumbling stop
,,,,,,,,
2,0,6,7146.67999,7158.52002,Praveen,Patel,OUT,takes out Parthiv. He switched to round the stumps for this delivery and got the ball to curve away from Parthiv from that angle. Fine delivery. Parthiv had a lame poke at it. Fatal.
,,,,,,,,
2,1,1,7253.68,7259.24,Steyn,Hayden,0,"around 147 kmph, skids on quickly from short of length, jabbed away to the on side"
,,,,,,,,
2,1,2,7286.2,7292.6,Steyn,Hayden,1,"bounces it short . but well outside off.. Hayden shoulders arms. It went inside the white wide line, called a wide, though"
,,,,,,,,
2,1,2,7319.2,7324.08,Steyn,Hayden,0,"in the zone outside off, much closer this time and curving back .. left alone"
,,,,,,,,
2,1,3,7350.16,7356.84,Steyn,Hayden,4,151.8 kmph pacy full delivery but it has been smashed to left of mid-off. Hayden walked down the track and flayed the overpitched delivery
,,,,,,,,
